job_role,skills,domain,required_skills,demand_level_india,experience_alignment
Assistant Cardiologist,"cardiology, heart disease diagnosis, ecg interpretation, patient care, cardiac treatment",Healthcare,"ecg interpretation, echocardiography, cardiac procedures, patient diagnosis, treatment planning, emergency cardiac care",High,Beginner
Junior Cardiologist,"cardiology, heart disease diagnosis, ecg interpretation, patient care, cardiac treatment",Healthcare,"ecg interpretation, echocardiography, cardiac procedures, patient diagnosis, treatment planning, emergency cardiac care",High,Beginner
Lead Cardiologist,"cardiology, heart disease diagnosis, ecg interpretation, patient care, cardiac treatment",Healthcare,"ecg interpretation, echocardiography, cardiac procedures, patient diagnosis, treatment planning, emergency cardiac care",High,Advanced
Senior Cardiologist,"cardiology, heart disease diagnosis, ecg interpretation, patient care, cardiac treatment",Healthcare,"ecg interpretation, echocardiography, cardiac procedures, patient diagnosis, treatment planning, emergency cardiac care",High,Advanced
Principal Cardiologist,"cardiology, heart disease diagnosis, ecg interpretation, patient care, cardiac treatment",Healthcare,"ecg interpretation, echocardiography, cardiac procedures, patient diagnosis, treatment planning, emergency cardiac care",High,Advanced
Clinical Psychologist,"clinical psychology, psychotherapy, mental health assessment, counseling, behavior therapy",Healthcare,"psychological assessment, psychotherapy, case documentation, counseling techniques, behavior therapy, patient evaluation",High,Advanced
Assistant Clinical Psychologist,"clinical psychology, psychotherapy, mental health assessment, counseling, behavior therapy",Healthcare,"psychological assessment, psychotherapy, case documentation, counseling techniques, behavior therapy, patient evaluation",High,Beginner
Junior Clinical Psychologist,"clinical psychology, psychotherapy, mental health assessment, counseling, behavior therapy",Healthcare,"psychological assessment, psychotherapy, case documentation, counseling techniques, behavior therapy, patient evaluation",High,Beginner
Lead Clinical Psychologist,"clinical psychology, psychotherapy, mental health assessment, counseling, behavior therapy",Healthcare,"psychological assessment, psychotherapy, case documentation, counseling techniques, behavior therapy, patient evaluation",High,Advanced
Senior Clinical Psychologist,"clinical psychology, psychotherapy, mental health assessment, counseling, behavior therapy",Healthcare,"psychological assessment, psychotherapy, case documentation, counseling techniques, behavior therapy, patient evaluation",High,Advanced
Principal Clinical Psychologist,"clinical psychology, psychotherapy, mental health assessment, counseling, behavior therapy",Healthcare,"psychological assessment, psychotherapy, case documentation, counseling techniques, behavior therapy, patient evaluation",High,Advanced
Cloud Architect,"cloud architecture, solution design, scalability, aws, azure",Cloud,"cloud solution architecture, aws or azure, networking, security design, cost optimization, infrastructure planning",High,Advanced
Assistant Cloud Architect,"cloud architecture, solution design, scalability, aws, azure",Cloud,"cloud solution architecture, aws or azure, networking, security design, cost optimization, infrastructure planning",High,Beginner
Junior Cloud Architect,"cloud architecture, solution design, scalability, aws, azure",Cloud,"cloud solution architecture, aws or azure, networking, security design, cost optimization, infrastructure planning",High,Beginner
Lead Cloud Architect,"cloud architecture, solution design, scalability, aws, azure",Cloud,"cloud solution architecture, aws or azure, networking, security design, cost optimization, infrastructure planning",High,Advanced
Senior Cloud Architect,"cloud architecture, solution design, scalability, aws, azure",Cloud,"cloud solution architecture, aws or azure, networking, security design, cost optimization, infrastructure planning",High,Advanced
Principal Cloud Architect,"cloud architecture, solution design, scalability, aws, azure",Cloud,"cloud solution architecture, aws or azure, networking, security design, cost optimization, infrastructure planning",High,Advanced
Cloud Engineer,"cloud infrastructure, deployment, aws, azure, automation",Cloud,"aws or azure, cloud deployment, infrastructure as code, linux, monitoring, scripting",High,Intermediate
Assistant Cloud Engineer,"cloud infrastructure, deployment, aws, azure, automation",Cloud,"aws or azure, cloud deployment, infrastructure as code, linux, monitoring, scripting",High,Beginner
Junior Cloud Engineer,"cloud infrastructure, deployment, aws, azure, automation",Cloud,"aws or azure, cloud deployment, infrastructure as code, linux, monitoring, scripting",High,Beginner
Lead Cloud Engineer,"cloud infrastructure, deployment, aws, azure, automation",Cloud,"aws or azure, cloud deployment, infrastructure as code, linux, monitoring, scripting",High,Advanced
Senior Cloud Engineer,"cloud infrastructure, deployment, aws, azure, automation",Cloud,"aws or azure, cloud deployment, infrastructure as code, linux, monitoring, scripting",High,Advanced
Principal Cloud Engineer,"cloud infrastructure, deployment, aws, azure, automation",Cloud,"aws or azure, cloud deployment, infrastructure as code, linux, monitoring, scripting",High,Advanced
Computer Hardware Engineer,"computer hardware, circuit design, embedded electronics, testing, troubleshooting",Engineering,"hardware diagnostics, pcb understanding, circuit testing, embedded systems, repair workflows, technical documentation",Medium,Intermediate
Assistant Computer Hardware Engineer,"computer hardware, circuit design, embedded electronics, testing, troubleshooting",Engineering,"hardware diagnostics, pcb understanding, circuit testing, embedded systems, repair workflows, technical documentation",Medium,Beginner
Junior Computer Hardware Engineer,"computer hardware, circuit design, embedded electronics, testing, troubleshooting",Engineering,"hardware diagnostics, pcb understanding, circuit testing, embedded systems, repair workflows, technical documentation",Medium,Beginner
Lead Computer Hardware Engineer,"computer hardware, circuit design, embedded electronics, testing, troubleshooting",Engineering,"hardware diagnostics, pcb understanding, circuit testing, embedded systems, repair workflows, technical documentation",Medium,Advanced
Senior Computer Hardware Engineer,"computer hardware, circuit design, embedded electronics, testing, troubleshooting",Engineering,"hardware diagnostics, pcb understanding, circuit testing, embedded systems, repair workflows, technical documentation",Medium,Advanced
Principal Computer Hardware Engineer,"computer hardware, circuit design, embedded electronics, testing, troubleshooting",Engineering,"hardware diagnostics, pcb understanding, circuit testing, embedded systems, repair workflows, technical documentation",Medium,Advanced
Computer Network Architect,"network architecture, enterprise networking, routing, switching, infrastructure design",Cloud,"network design, routing and switching, firewall planning, capacity planning, network security, documentation",Medium,Advanced
Assistant Computer Network Architect,"network architecture, enterprise networking, routing, switching, infrastructure design",Cloud,"network design, routing and switching, firewall planning, capacity planning, network security, documentation",Medium,Beginner
Junior Computer Network Architect,"network architecture, enterprise networking, routing, switching, infrastructure design",Cloud,"network design, routing and switching, firewall planning, capacity planning, network security, documentation",Medium,Beginner
Lead Computer Network Architect,"network architecture, enterprise networking, routing, switching, infrastructure design",Cloud,"network design, routing and switching, firewall planning, capacity planning, network security, documentation",Medium,Advanced
Senior Computer Network Architect,"network architecture, enterprise networking, routing, switching, infrastructure design",Cloud,"network design, routing and switching, firewall planning, capacity planning, network security, documentation",Medium,Advanced
Principal Computer Network Architect,"network architecture, enterprise networking, routing, switching, infrastructure design",Cloud,"network design, routing and switching, firewall planning, capacity planning, network security, documentation",Medium,Advanced
Computer Programmer,"programming, software logic, debugging, algorithms, application development",Web,"java or python, debugging, data structures, version control, problem solving, software testing",Medium,Beginner
Assistant Computer Programmer,"programming, software logic, debugging, algorithms, application development",Web,"java or python, debugging, data structures, version control, problem solving, software testing",Medium,Beginner
Junior Computer Programmer,"programming, software logic, debugging, algorithms, application development",Web,"java or python, debugging, data structures, version control, problem solving, software testing",Medium,Beginner
Lead Computer Programmer,"programming, software logic, debugging, algorithms, application development",Web,"java or python, debugging, data structures, version control, problem solving, software testing",Medium,Advanced
Senior Computer Programmer,"programming, software logic, debugging, algorithms, application development",Web,"java or python, debugging, data structures, version control, problem solving, software testing",Medium,Advanced
Principal Computer Programmer,"programming, software logic, debugging, algorithms, application development",Web,"java or python, debugging, data structures, version control, problem solving, software testing",Medium,Advanced
Cybersecurity Analyst,"cybersecurity, threat analysis, vulnerability assessment, incident response, siem",Security,"vulnerability assessment, siem monitoring, network security, incident response, log analysis, security reporting",High,Intermediate
Assistant Cybersecurity Analyst,"cybersecurity, threat analysis, vulnerability assessment, incident response, siem",Security,"vulnerability assessment, siem monitoring, network security, incident response, log analysis, security reporting",High,Beginner
Junior Cybersecurity Analyst,"cybersecurity, threat analysis, vulnerability assessment, incident response, siem",Security,"vulnerability assessment, siem monitoring, network security, incident response, log analysis, security reporting",High,Beginner
Lead Cybersecurity Analyst,"cybersecurity, threat analysis, vulnerability assessment, incident response, siem",Security,"vulnerability assessment, siem monitoring, network security, incident response, log analysis, security reporting",High,Advanced
Senior Cybersecurity Analyst,"cybersecurity, threat analysis, vulnerability assessment, incident response, siem",Security,"vulnerability assessment, siem monitoring, network security, incident response, log analysis, security reporting",High,Advanced
Principal Cybersecurity Analyst,"cybersecurity, threat analysis, vulnerability assessment, incident response, siem",Security,"vulnerability assessment, siem monitoring, network security, incident response, log analysis, security reporting",High,Advanced
Data Analyst,"data analysis, excel, sql, reporting, visualization",Data,"sql, excel, power bi, data cleaning, dashboard creation, statistics",High,Beginner
Assistant Data Analyst,"data analysis, excel, sql, reporting, visualization",Data,"sql, excel, power bi, data cleaning, dashboard creation, statistics",High,Beginner
Junior Data Analyst,"data analysis, excel, sql, reporting, visualization",Data,"sql, excel, power bi, data cleaning, dashboard creation, statistics",High,Beginner
Lead Data Analyst,"data analysis, excel, sql, reporting, visualization",Data,"sql, excel, power bi, data cleaning, dashboard creation, statistics",High,Advanced
Senior Data Analyst,"data analysis, excel, sql, reporting, visualization",Data,"sql, excel, power bi, data cleaning, dashboard creation, statistics",High,Advanced
Principal Data Analyst,"data analysis, excel, sql, reporting, visualization",Data,"sql, excel, power bi, data cleaning, dashboard creation, statistics",High,Advanced
Data Architect,"data architecture, data modeling, warehousing, governance, database design",Data,"data modeling, database design, data governance, etl architecture, warehousing, stakeholder alignment",High,Advanced
Assistant Data Architect,"data architecture, data modeling, warehousing, governance, database design",Data,"data modeling, database design, data governance, etl architecture, warehousing, stakeholder alignment",High,Beginner
Junior Data Architect,"data architecture, data modeling, warehousing, governance, database design",Data,"data modeling, database design, data governance, etl architecture, warehousing, stakeholder alignment",High,Beginner
Lead Data Architect,"data architecture, data modeling, warehousing, governance, database design",Data,"data modeling, database design, data governance, etl architecture, warehousing, stakeholder alignment",High,Advanced
Senior Data Architect,"data architecture, data modeling, warehousing, governance, database design",Data,"data modeling, database design, data governance, etl architecture, warehousing, stakeholder alignment",High,Advanced
Principal Data Architect,"data architecture, data modeling, warehousing, governance, database design",Data,"data modeling, database design, data governance, etl architecture, warehousing, stakeholder alignment",High,Advanced
Data Engineer,"data engineering, etl, data pipelines, sql, cloud data platforms",Data,"python, sql, etl pipeline development, spark, data warehousing, workflow orchestration",High,Intermediate
Assistant Data Engineer,"data engineering, etl, data pipelines, sql, cloud data platforms",Data,"python, sql, etl pipeline development, spark, data warehousing, workflow orchestration",High,Beginner
Junior Data Engineer,"data engineering, etl, data pipelines, sql, cloud data platforms",Data,"python, sql, etl pipeline development, spark, data warehousing, workflow orchestration",High,Beginner
Lead Data Engineer,"data engineering, etl, data pipelines, sql, cloud data platforms",Data,"python, sql, etl pipeline development, spark, data warehousing, workflow orchestration",High,Advanced
Senior Data Engineer,"data engineering, etl, data pipelines, sql, cloud data platforms",Data,"python, sql, etl pipeline development, spark, data warehousing, workflow orchestration",High,Advanced
Principal Data Engineer,"data engineering, etl, data pipelines, sql, cloud data platforms",Data,"python, sql, etl pipeline development, spark, data warehousing, workflow orchestration",High,Advanced
Data Scientist,"python, statistics, machine learning, data analysis, modeling",AI,"python, pandas, numpy, scikit learn, statistics, data visualization, model evaluation",High,Intermediate
Assistant Data Scientist,"python, statistics, machine learning, data analysis, modeling",AI,"python, pandas, numpy, scikit learn, statistics, data visualization, model evaluation",High,Beginner
Junior Data Scientist,"python, statistics, machine learning, data analysis, modeling",AI,"python, pandas, numpy, scikit learn, statistics, data visualization, model evaluation",High,Beginner
Lead Data Scientist,"python, statistics, machine learning, data analysis, modeling",AI,"python, pandas, numpy, scikit learn, statistics, data visualization, model evaluation",High,Advanced
Senior Data Scientist,"python, statistics, machine learning, data analysis, modeling",AI,"python, pandas, numpy, scikit learn, statistics, data visualization, model evaluation",High,Advanced
Principal Data Scientist,"python, statistics, machine learning, data analysis, modeling",AI,"python, pandas, numpy, scikit learn, statistics, data visualization, model evaluation",High,Advanced
Database Administrator,"database administration, sql, backup management, performance tuning, security",Data,"sql server or mysql, backup and recovery, performance tuning, user management, database security, query optimization",High,Intermediate
Assistant Database Administrator,"database administration, sql, backup management, performance tuning, security",Data,"sql server or mysql, backup and recovery, performance tuning, user management, database security, query optimization",High,Beginner
Junior Database Administrator,"database administration, sql, backup management, performance tuning, security",Data,"sql server or mysql, backup and recovery, performance tuning, user management, database security, query optimization",High,Beginner
Lead Database Administrator,"database administration, sql, backup management, performance tuning, security",Data,"sql server or mysql, backup and recovery, performance tuning, user management, database security, query optimization",High,Advanced
Senior Database Administrator,"database administration, sql, backup management, performance tuning, security",Data,"sql server or mysql, backup and recovery, performance tuning, user management, database security, query optimization",High,Advanced
Principal Database Administrator,"database administration, sql, backup management, performance tuning, security",Data,"sql server or mysql, backup and recovery, performance tuning, user management, database security, query optimization",High,Advanced
Dentist,"dental care, oral diagnosis, tooth restoration, patient consultation, preventive dentistry",Healthcare,"oral examination, dental procedures, x ray interpretation, patient care, infection control, treatment planning",High,Advanced
Assistant Dentist,"dental care, oral diagnosis, tooth restoration, patient consultation, preventive dentistry",Healthcare,"oral examination, dental procedures, x ray interpretation, patient care, infection control, treatment planning",High,Beginner
Junior Dentist,"dental care, oral diagnosis, tooth restoration, patient consultation, preventive dentistry",Healthcare,"oral examination, dental procedures, x ray interpretation, patient care, infection control, treatment planning",High,Beginner
Lead Dentist,"dental care, oral diagnosis, tooth restoration, patient consultation, preventive dentistry",Healthcare,"oral examination, dental procedures, x ray interpretation, patient care, infection control, treatment planning",High,Advanced
Senior Dentist,"dental care, oral diagnosis, tooth restoration, patient consultation, preventive dentistry",Healthcare,"oral examination, dental procedures, x ray interpretation, patient care, infection control, treatment planning",High,Advanced
Principal Dentist,"dental care, oral diagnosis, tooth restoration, patient consultation, preventive dentistry",Healthcare,"oral examination, dental procedures, x ray interpretation, patient care, infection control, treatment planning",High,Advanced
Dermatologist,"dermatology, skin disease diagnosis, cosmetic treatment, patient care, clinical evaluation",Healthcare,"skin assessment, dermatological procedures, biopsy interpretation, patient diagnosis, treatment planning, cosmetic dermatology",High,Advanced
Assistant Dermatologist,"dermatology, skin disease diagnosis, cosmetic treatment, patient care, clinical evaluation",Healthcare,"skin assessment, dermatological procedures, biopsy interpretation, patient diagnosis, treatment planning, cosmetic dermatology",High,Beginner
Junior Dermatologist,"dermatology, skin disease diagnosis, cosmetic treatment, patient care, clinical evaluation",Healthcare,"skin assessment, dermatological procedures, biopsy interpretation, patient diagnosis, treatment planning, cosmetic dermatology",High,Beginner
Lead Dermatologist,"dermatology, skin disease diagnosis, cosmetic treatment, patient care, clinical evaluation",Healthcare,"skin assessment, dermatological procedures, biopsy interpretation, patient diagnosis, treatment planning, cosmetic dermatology",High,Advanced
Senior Dermatologist,"dermatology, skin disease diagnosis, cosmetic treatment, patient care, clinical evaluation",Healthcare,"skin assessment, dermatological procedures, biopsy interpretation, patient diagnosis, treatment planning, cosmetic dermatology",High,Advanced
Principal Dermatologist,"dermatology, skin disease diagnosis, cosmetic treatment, patient care, clinical evaluation",Healthcare,"skin assessment, dermatological procedures, biopsy interpretation, patient diagnosis, treatment planning, cosmetic dermatology",High,Advanced
DevOps Engineer,"devops, ci cd, automation, docker, cloud deployment",Cloud,"docker, kubernetes, ci cd pipelines, linux, infrastructure as code, monitoring",High,Intermediate
Assistant DevOps Engineer,"devops, ci cd, automation, docker, cloud deployment",Cloud,"docker, kubernetes, ci cd pipelines, linux, infrastructure as code, monitoring",High,Beginner
Junior DevOps Engineer,"devops, ci cd, automation, docker, cloud deployment",Cloud,"docker, kubernetes, ci cd pipelines, linux, infrastructure as code, monitoring",High,Beginner
Lead DevOps Engineer,"devops, ci cd, automation, docker, cloud deployment",Cloud,"docker, kubernetes, ci cd pipelines, linux, infrastructure as code, monitoring",High,Advanced
Senior DevOps Engineer,"devops, ci cd, automation, docker, cloud deployment",Cloud,"docker, kubernetes, ci cd pipelines, linux, infrastructure as code, monitoring",High,Advanced
Principal DevOps Engineer,"devops, ci cd, automation, docker, cloud deployment",Cloud,"docker, kubernetes, ci cd pipelines, linux, infrastructure as code, monitoring",High,Advanced
Dietitian,"nutrition planning, diet counseling, meal plans, patient assessment, therapeutic diets",Healthcare,"diet assessment, nutrition counseling, therapeutic meal planning, patient education, clinical nutrition, progress monitoring",Medium,Intermediate
Assistant Dietitian,"nutrition planning, diet counseling, meal plans, patient assessment, therapeutic diets",Healthcare,"diet assessment, nutrition counseling, therapeutic meal planning, patient education, clinical nutrition, progress monitoring",Medium,Beginner
Junior Dietitian,"nutrition planning, diet counseling, meal plans, patient assessment, therapeutic diets",Healthcare,"diet assessment, nutrition counseling, therapeutic meal planning, patient education, clinical nutrition, progress monitoring",Medium,Beginner
Lead Dietitian,"nutrition planning, diet counseling, meal plans, patient assessment, therapeutic diets",Healthcare,"diet assessment, nutrition counseling, therapeutic meal planning, patient education, clinical nutrition, progress monitoring",Medium,Advanced
